"Name","Release","Developer","Publisher","Rating","Genre","Critics_Score","Number_Critics","Number_Critics_Pos","Number_Critics_Mixed","Number_Critics_Negative","User_score","Number_User","Number_User_Pos","Number_User_Mixed","Number_User_Negative","url","image","Mean_score","colour"
"The Legend of Zelda: A Link to the Past / Four Swords","2002-12-03","Nintendo","Nintendo","Rated E","Action/Adventure",95,30,29,1,0,8.9,707,631,46,30,"https://www.metacritic.com/game/the-legend-of-zelda-a-link-to-the-past-four-swords/","https://www.metacritic.com/a/img/resize/67a0095a1a484272812048bd68820a9bf9f5b6e3/catalog/provider/6/3/6-1-18316-13.jpg?auto=webp&fit=cover&height=132&width=88",9.2,"Good"
"Tony Hawk's Pro Skater 2","2000-10-25","Neversoft Entertainment","Activision","Rated T","Sports",91,22,21,1,0,8.4,341,284,42,15,"https://www.metacritic.com/game/tony-hawks-pro-skater-2/","https://www.metacritic.com/a/img/resize/4557a9def377164b0734665ef4eb31a152be06ef/catalog/provider/6/3/6-1-8326-13.jpg?auto=webp&fit=cover&height=132&width=88",8.75,"Good"
"Super Mario Advance 4: Super Mario Bros. 3","2003-10-21","Nintendo","Nintendo","Rated E","Platformer",94,25,25,0,0,9,373,341,17,15,"https://www.metacritic.com/game/super-mario-advance-4-super-mario-bros-3/","https://www.metacritic.com/a/img/resize/6ff00b082a02dc484bddb7ece1de9c87095ce70d/catalog/provider/6/3/6-1-52144-13.jpg?auto=webp&fit=cover&height=132&width=88",9.2,"Good"
"Mario Kart: Super Circuit","2001-08-26","Intelligent Systems","Nintendo","Rated E","Racing",93,24,24,0,0,7.9,291,185,82,24,"https://www.metacritic.com/game/mario-kart-super-circuit/","https://www.metacritic.com/a/img/resize/6de9b16354f7a1288d7688ef7482c0a69db0b5cf/catalog/provider/6/12/6-1-548487-52.jpg?auto=webp&fit=cover&height=132&width=88",8.6,"Good"
"Advance Wars","2001-09-09","Intelligent Systems","Nintendo","Rated E","Strategy",92,28,27,1,0,8.7,147,131,11,5,"https://www.metacritic.com/game/advance-wars/","https://www.metacritic.com/a/img/resize/756ced3a98a6db5c7a5b39777a3bffd9df5c5616/catalog/provider/6/12/6-1-372873-17.jpg?auto=webp&fit=cover&height=132&width=88",8.95,"Good"
"Super Mario World: Super Mario Advance 2","2002-02-09","Nintendo","Nintendo","Rated E","Platformer",92,28,28,0,0,9.1,315,291,16,8,"https://www.metacritic.com/game/super-mario-world-super-mario-advance-2/","https://www.metacritic.com/a/img/resize/a5145868a6dfd455d133844093515e21fd787cff/catalog/provider/6/12/6-1-597031-52.jpg?auto=webp&fit=cover&height=132&width=88",9.15,"Good"
"Metroid Fusion","2002-11-17","Nintendo","Nintendo","Rated E","Platformer",92,44,43,1,0,8.9,430,379,43,8,"https://www.metacritic.com/game/metroid-fusion/","https://www.metacritic.com/a/img/resize/52925f21a82d710f68f319ca6895510530345eb2/catalog/provider/6/3/6-1-14319-13.jpg?auto=webp&fit=cover&height=132&width=88",9.05,"Good"
"Final Fantasy VI","2007-02-05","TOSE","Nintendo","Rated E +10","RPG",92,25,25,0,0,8.7,490,424,17,49,"https://www.metacritic.com/game/final-fantasy-vi/","https://www.metacritic.com/a/img/resize/07b41d8ef1e30950c6e4101671163ba93f3831a4/catalog/provider/6/3/6-1-71946-13.jpg?auto=webp&fit=cover&height=132&width=88",8.95,"Good"
"Yoshi's Island: Super Mario Advance 3","2002-09-24","Nintendo","Nintendo","Rated E","Platformer",91,26,25,1,0,9.1,224,210,8,6,"https://www.metacritic.com/game/yoshis-island-super-mario-advance-3/","https://www.metacritic.com/a/img/resize/d69225f51c11e115ac8ff15df7d9e4444e9d0d84/catalog/provider/6/12/6-1-373589-52.jpg?auto=webp&fit=cover&height=132&width=88",9.1,"Good"
"Castlevania: Aria of Sorrow","2003-05-06","KCET","Konami","Rated T","Platformer",91,29,28,1,0,8.8,230,206,14,10,"https://www.metacritic.com/game/castlevania-aria-of-sorrow/","https://www.metacritic.com/a/img/resize/3af7533275135da29478493b8dc8c468ec30ac3b/catalog/provider/6/3/6-1-52195-13.jpg?auto=webp&fit=cover&height=132&width=88",8.95,"Good"
